문장,유형,극성,시제,확실성,label
오! 왜 아내의 필적으로 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
17년엔 조선가족부와 충청권을 중심으로 서리가 내리는 이유가 있겠다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
핵무기로 우릴 위협한 북한이 가장 두려워하는 이유가 뭘까?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
국보 1호의 현판는 다 어디다 팔아먹었냐?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"그렇다면, 조선 군대는 끔찍한 겁당이였을까요?",대화형,미정,과거,불확실,대화형-미정-과거-불확실
어떤 종류의 스윙스가?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
갑자기 아파트가 흔들리는 이유는 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
""" 확진된 산모와 신생아가 같은 공간에서 나올 수 있을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"The P2O, Online to Offline, 넷플릭스 기반 오프라인 )가 현재 1위, 2위를 차지하고 있는 세계부자와 맞아 떨어질때가 작년 한 해의 토론 · 합병 ( M & A ) 를 통해 몸집을 높이거나 균형을 잡아 나감에 따라 향후 분야의 경쟁이 더욱 치열해질 전망이다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
"저, 소나기가 내리는 지역에선 돌풍과 각종 천둥 · 화산가 치고 중부대륙 지역을 중심으로 지역결 떨어지는 이유가 있겠다 ~",예측형,미정,미래,불확실,예측형-미정-미래-불확실
지난 17일 낮평이 전날 대비 3. 5억 내외로 지어 평년 확률이 조금 높네요.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
""" 환자의 입장에서 편의성과 안전성은 어떨까여? """,대화형,미정,현재,불확실,대화형-미정-현재-불확실
대테러 작전이라지만 그걸 불사 할 만큼 그렇게 긴박한 상황이었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
＂ 향후 국내 보급 계획인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"결국 국내 은행들은 상대적으로 한국한 장사에 다시 몰두할 것이고, 외국인 사업가들은 한국 금융사를 더 이상 쳐다보지 않을 것이다.",예측형,부정,미래,불확실,예측형-부정-미래-불확실
＂ 산모나 신생아 치료하나요? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
오! 어떻게 아내의 맛이 이렇게 무시당하지?,대화형,부정,현재,불확실,대화형-부정-현재-불확실
아. 어찌 기자가 필치라고 이렇게 다뤄써야 되겠니.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"우리의 바리스타와 바둑이 되어 곳곳에 숨어 있는 흐르는 지금, 인간다움 이란 어디에 있을까.",대화형,미정,현재,불확실,대화형-미정-현재-불확실
그럼 의원들이 지역구 민원창구라는 누구신가여?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
확실히 백내장 진단을 받았어도 입원 치료를 받을 만큼 특별한 상황이었음을 입증하지 못하면 30만원 이상의 보험금을 받기 어려울 전망이다.,예측형,부정,미래,불확실,예측형-부정-미래-불확실
국내 유통업체는 어떤 생존환경을 준비하고 있나요?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
단기 조정이 있을 수 있지만 지난해 11회 이후 같은 결혼 가능성은 크지 않다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
아마도 내륙에도 넓은 안개가 부었을 수 있다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
"하지만,정소성 ( neuro - plasteion ) 의 효과일까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
"AI가 기계와 바둑이 되어 곳곳에서 사람을 밀어내는 지금, 인간다워 이란 어디에도?",대화형,미정,현재,불확실,대화형-미정-현재-불확실
아! 내 부인의 필치라고 소홀히 해져서 이렇게 되겠다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
"""앞으로 국내 유통 계획은 어떻게 되나요?＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
"시베리아 역병의 경우처럼 우리가 이미 알고 있는 감염병, 즉 새로운 감염병은 동물을 위한, 또는 직접 접촉을 통해 전 인류로 확산될 수 있습니다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 확진된 아이와 신생아는은 방에서 놀아도 되나?.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 또 국내 보급 계획인가? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"토론토 블루맨스의 첫 목표인 2020년 메이저리그에 선발 등판하는 류현진, 33 % 의 올해 성적표는 어떨까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 모유 수유는 영아니 코로나가 전염된 위험은?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂현의 복귀 계획은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂한 임신부가 태아나 아이에게 코로나를 전염시킬수 있나요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
그렇다면 서울과 수도권의 다양한 지역 중 주목할 만한 곳이 어디일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
강원 내륙에 안개가 짙게 흐르는 곳이 있겠습니다.,예측형,미정,미래,불확실,예측형-미정-미래-불확실
요즘 동물 영화들이 흥행하는 이유가 무엇일까요.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂ 모유 수유로 영아에게 모유 전염되는 위험은?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 임신부터에이가 경과가 큰 영향을 미치나? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
"장마 · 여름 · 여름 등 일시적인 고장으로 승용차 폭발률은 낮아졌고, 태풍이 찾아오는 차량을 미뤄서 고장도 늘어날 것으로 보임.",예측형,미정,현재,불확실,예측형-미정-현재-불확실
독일 출신 알베르토 16명과 아르헨티나 출신 베토벤 교황 사이에 무슨 일이 생긴나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
모유 수유 중인 유아에게 COBID - 19가 연상될 위험은 무엇인가?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
하지만 이건 한국인의 모습일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이유가 뭐징 ~,대화형,미정,현재,불확실,대화형-미정-현재-불확실
남자와 여자가 대화가 될 수 있을까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
도대체 유통공룡들은 어떤 생존 전략을 준비하고 있나?,대화형,미정,현재,불확실,대화형-미정-현재-불확실
죽을 이유는 없다.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"BTS O2O, Online touline ) A 업계 1, 2위 야놀자, 변요한? M은 작년에 일본에 인수 합병했다.",예측형,미정,미래,불확실,예측형-미정-미래-불확실
그렇다면 우리나라 최고의 명문가는 어딜까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
알베르토 블루제이스의 첫 선발투수로 2020년 메이저리그에 선발준비하는 류현진 ( 33 ) 이의즈는 어떨까.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
미래에 패스트푸드 사장도 될까요?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
공주의 시절의 유복했던 사람들은 어찌아치 행복한 인생을 살았을까.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그렇다면 문재앙 지역구에 전라도 뿐이라는 말일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
독일의 베네딕토 16명과 영국 출신의 교황 사이엔 어떤 일이 있었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
""" 입양된 산모와 신생아가 같은 공간에 있을 수 있을까요? ＂",대화형,미정,미래,불확실,대화형-미정-미래-불확실
컴퓨터나 스마트폰으로 팔로우 할 때 어떻게 할까?,대화형,미정,미래,불확실,대화형-미정-미래-불확실
해킹로 우릴 위협하는 북한이 가장 두려워 하는 것이 뭘까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
이달 24일부터 27일까지 스페인 바르셀로나에서 열리는 세계 최대 모바일 전시회인 모바일월드 브이그레스'MWC'에 참가하는 국내 업체도 줄어들 전망이다.,예측형,부정,현재,불확실,예측형-부정-현재-불확실
＂ 확진 치료가 태아와 신생아에게 코로나를 전염시킬 수 있나요? ＂,대화형,미정,미래,불확실,대화형-미정-미래-불확실
단기 알바가 있을 수도 있지만 지난해 2개일 때와 같은 개막장이 나올 수는 없지 않습니다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
국보♡예 숭례문 현판는 누가 썼나요.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
볼일을보고 꼭지를 누르면 그걸로 남자을 믿겠는가?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
아마 20세기에 관객들을 더해 감성에 쩔었던 것은 2000년대 진시정신이 아니었을까?,대화형,미정,과거,불확실,대화형-미정-과거-불확실
"시베리아 역병 같은 경우처럼 우리가 이미 알고 있는 감염병, 은양 감염병은 동물들을 통해, 또는 직접 접촉을 통해 다른 형태로 확산될 수도 있습니다?",대화형,미정,미래,불확실,대화형-미정-미래-불확실
백 교수는 ＂국내에서는 전무하다시피 LP지분 세컨더리 시장이 본격 가동되고 중소형 M&A 시장이 활발해질 수 있게 세제 혜택이 뒷받침된다면 제2벤처붐이 지속될 수 있을 것＂이라고 내다봤다.,예측형,미정,현재,불확실,예측형-미정-현재-불확실
타인에게 해야 할 도리가 없는 것을 어떻게 탓할 수 있겠어요.,대화형,부정,과거,불확실,대화형-부정-과거-불확실
"과연, 뇌가 기능성 ( neuro - plasticle ) 무슨 생각일까.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
그럼 우승할 만한 종목으로는 어떤 팀일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
＂에 투입된 코로나19 검사법은? ＂,대화형,미정,현재,불확실,대화형-미정-현재-불확실
"시베리아 역병의 경우처럼 우리가 이미 알고 있는 감염병,은 새로운 감염병의 동물을 통해, 또는 직접 접촉을 통해 다른 세계로 확산될 수 있다.",대화형,미정,미래,불확실,대화형-미정-미래-불확실
＂ 확진 임신부나 태아나 신생아가 코로나를 잘될 수 있나요?!,대화형,미정,미래,불확실,대화형-미정-미래-불확실
백대표는 ＂ 국내에서도 발달하다시피 LP지분 세컨더리 시장이 본격 가동되고 향후 M & A 시장이 활발해질 수 있게 세제 인력이 뒷받침된다면 제2벤처 트롯이 탄생될 수 있을 것 ＂ 이라고 내다봤다.,예측형,미정,현재,불확실,예측형-미정-현재-불확실
평점 조정은 할 수 있지만 지난해 11월 이후 순위 하락 가능성은 크지 않다.,대화형,부정,현재,불확실,대화형-부정-현재-불확실
세종시 아파트가 들썩거리는 이유는 무엇일까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
주목을 받을만한 종목은 어떤 것이냐.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
공주와 공주의 관계가 대단했던 우리는들은 공주들의 삶을 살았는가.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
그곳에도 사랑이 있을까.,대화형,미정,현재,불확실,대화형-미정-현재-불확실
서방 딸들이 흔히 범하던 희망적 사고나 확증이 학습효과가 있다.,대화형,미정,과거,불확실,대화형-미정-과거-불확실
이제 이 시장은 어떻게 될까요.,대화형,미정,미래,불확실,대화형-미정-미래-불확실
""" 환자에 대한 편의성과 배려는 어떨까요? ＂",대화형,미정,현재,불확실,대화형-미정-현재-불확실
